                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 1.6031,                 1.3077,                 1.3681,                0.77384,                0.55728,                0.65276,                0.38643,                 1.6299,                 1.3938,                 1.5591,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.6448,                 1.3056,                 1.3785,                0.78291,                0.58402,                0.67917,                0.37982,                  1.618,                 1.3457,                 1.5525,               0.001436,               0.001436,               0.001436
                     16,                 1.5733,                 1.2746,                 1.3277,                0.77098,                0.57732,                0.67404,                0.37578,                  1.607,                 1.3127,                 1.5426,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.5296,                 1.2331,                 1.3123,                0.81436,                0.59037,                0.69128,                0.39082,                  1.563,                 1.3753,                 1.5236,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.5538,                 1.2033,                 1.3277,                0.73036,                0.63499,                0.68076,                0.36012,                 1.7243,                 1.2597,                 1.5809,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.5328,                 1.1946,                 1.2968,                0.78255,                0.62778,                0.71376,                0.41372,                  1.537,                 1.1989,                  1.486,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.4953,                 1.1056,                 1.2625,                0.82568,                0.63586,                0.72363,                0.43804,                 1.5032,                 1.1418,                 1.4605,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.5072,                 1.1152,                 1.2877,                0.78399,                0.59612,                 0.6775,                0.37329,                 1.6651,                 1.3038,                 1.5324,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.4409,                 1.0976,                 1.2598,                0.84113,                0.57922,                0.70157,                0.42406,                 1.5095,                 1.2584,                 1.4641,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.4287,                 1.0758,                 1.2658,                0.91252,                 0.6409,                0.75338,                0.43165,                 1.5063,                 1.1598,                 1.4368,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.4367,                 1.0193,                 1.2381,                0.83354,                0.67132,                0.76089,                0.43941,                  1.539,                 1.1076,                 1.4264,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.4058,                 1.0091,                  1.244,                0.87175,                0.65886,                0.74443,                0.42586,                  1.609,                 1.0996,                 1.5159,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.4125,                 1.0431,                 1.2577,                0.79189,                0.68065,                0.75752,                0.43283,                 1.5536,                 1.1128,                  1.441,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.3883,                0.98595,                  1.212,                0.83582,                0.68954,                0.76223,                0.44431,                 1.4959,                 1.1105,                 1.4348,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.3418,                0.99844,                 1.2053,                0.86646,                 0.6338,                0.73312,                0.44902,                 1.4118,                 1.1825,                 1.3865,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.3396,                0.94607,                 1.2018,                0.82692,                0.70803,                 0.7902,                0.45476,                 1.4795,                 1.0671,                 1.4228,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.3839,                0.94928,                 1.2231,                0.76764,                0.59227,                0.69249,                0.38652,                 1.5935,                 1.2599,                 1.4866,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.3583,                 0.9579,                 1.1978,                0.80299,                0.67278,                0.75613,                0.45823,                 1.4283,                 1.1009,                 1.3908,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.3606,                0.94274,                 1.2044,                 0.9038,                0.65763,                0.77771,                0.47471,                 1.4038,                 1.0678,                 1.3444,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.3936,                0.95132,                 1.1804,                0.86588,                0.70067,                0.79248,                0.45568,                 1.4749,                 1.1932,                  1.416,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.3432,                0.89784,                 1.1777,                0.88857,                0.69201,                0.79003,                0.48289,                 1.3927,                 1.0427,                 1.3687,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.2889,                 0.8695,                  1.168,                0.84296,                0.69787,                0.77588,                0.45389,                 1.4363,                 1.1171,                 1.3691,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.2985,                0.85558,                  1.168,                0.85341,                0.70595,                0.79407,                0.46955,                 1.4412,                 1.0401,                 1.3714,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.2831,                0.84306,                 1.1688,                0.92529,                0.73366,                0.82221,                0.48477,                 1.4515,                  1.018,                 1.3668,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.2768,                0.83378,                 1.1466,                0.92013,                0.68766,                0.80117,                0.47514,                 1.4512,                 1.0631,                 1.4032,              0.0010564,              0.0010564,              0.0010564
                     39,                  1.289,                0.85589,                 1.1643,                0.94074,                0.67838,                0.79788,                0.46649,                 1.4194,                0.98696,                 1.3733,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.2769,                0.81125,                 1.1399,                 0.9201,                0.71041,                0.81391,                0.45482,                 1.4527,                0.97821,                 1.3928,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.2819,                0.81194,                 1.1552,                0.89696,                0.73638,                0.78958,                0.47304,                 1.4074,                 1.0146,                 1.3606,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.2324,                0.78547,                 1.1375,                0.86424,                0.70574,                 0.7898,                0.50511,                 1.3761,                 1.0307,                 1.3378,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.2525,                 0.8102,                 1.1387,                0.80251,                0.68439,                0.76034,                0.45541,                 1.4651,                 1.0518,                 1.3805,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.2486,                0.76939,                 1.1261,                0.88887,                0.73296,                0.78745,                0.48228,                 1.4177,                 1.0651,                  1.371,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.2325,                0.78584,                 1.1231,                0.89162,                0.72134,                0.81069,                0.48476,                 1.4196,                 1.0003,                 1.3655,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.2483,                0.79986,                 1.1334,                0.93694,                0.69143,                0.80452,                0.44707,                 1.4239,                0.99857,                 1.3679,             0.00092435,             0.00092435,             0.00092435
                     47,                   1.23,                0.77198,                 1.1168,                0.91369,                0.70117,                 0.8164,                0.48384,                 1.3943,                 1.0016,                 1.3683,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.2132,                  0.773,                 1.1209,                0.88782,                0.69759,                0.79505,                0.47249,                 1.4666,                 1.1121,                  1.386,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.2391,                0.78475,                 1.1273,                0.83431,                0.75622,                0.82193,                0.47847,                 1.4634,                0.98072,                 1.3709,             0.00087484,             0.00087484,             0.00087484
                     50,                  1.183,                0.70416,                 1.0991,                0.93567,                0.69878,                0.80989,                0.49756,                 1.3502,                 1.0246,                 1.3254,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.2153,                0.74658,                 1.1052,                0.87488,                0.73233,                0.81526,                0.50605,                 1.3441,                0.95916,                 1.3232,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.1955,                0.74542,                 1.1013,                0.88879,                0.74698,                0.82254,                0.51692,                 1.3622,                0.91931,                 1.3054,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.1803,                0.71953,                 1.0986,                0.93234,                0.72562,                0.81928,                 0.4943,                 1.3709,                0.96248,                 1.3336,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.1545,                0.70014,                 1.0951,                0.88575,                0.75554,                0.82056,                0.51462,                 1.2952,                 1.0033,                 1.3075,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.1814,                0.71434,                  1.104,                0.89565,                0.74008,                0.82845,                0.50457,                 1.4044,                0.94484,                 1.3406,             0.00077582,             0.00077582,             0.00077582
                     56,                  1.182,                0.69976,                 1.1033,                0.89033,                0.73957,                0.82066,                0.51367,                 1.3533,                0.93985,                 1.3188,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.1651,                0.67775,                 1.0852,                  0.903,                0.71946,                0.82686,                 0.5011,                 1.3699,                0.89459,                 1.3395,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.1365,                0.67542,                 1.0698,                0.90768,                0.74152,                0.83088,                0.52683,                 1.3303,                 0.8663,                 1.3178,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.1268,                0.67767,                 1.0808,                0.87598,                0.76596,                0.84425,                0.52053,                 1.4241,                 0.8766,                 1.3184,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.1377,                 0.6761,                 1.0736,                0.87429,                0.77695,                0.83072,                0.50496,                  1.348,                0.97238,                 1.3275,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.1243,                0.66179,                 1.0855,                0.93111,                0.74872,                0.83064,                0.49028,                 1.3851,                0.90313,                 1.3594,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.1133,                0.64216,                 1.0829,                0.91601,                0.70946,                0.82828,                0.52538,                 1.3446,                0.93567,                 1.3176,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.1113,                0.64845,                 1.0806,                0.86126,                0.77486,                0.83614,                0.53104,                 1.3551,                0.89553,                 1.3173,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.1206,                0.64798,                 1.0828,                  0.941,                0.72565,                0.81747,                 0.5122,                 1.3543,                 0.8752,                 1.2922,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.1093,                 0.6328,                 1.0628,                0.84043,                0.78475,                0.83209,                0.52076,                 1.3468,                0.85871,                  1.319,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.1045,                0.64364,                  1.063,                0.84766,                0.82305,                0.84484,                0.54795,                 1.3013,                0.85065,                 1.2992,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.1006,                0.64214,                 1.0635,                0.88228,                0.75958,                0.84064,                0.50904,                 1.3294,                 0.8669,                 1.3073,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.0712,                0.61415,                 1.0606,                0.89859,                  0.767,                0.84913,                0.53295,                 1.3455,                0.84345,                 1.3158,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.0887,                0.62245,                 1.0617,                0.96063,                 0.6894,                0.83388,                0.51854,                 1.3556,                0.86619,                  1.313,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.0544,                0.59503,                 1.0357,                0.87175,                0.77211,                0.83894,                0.51033,                 1.3317,                0.90806,                  1.294,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.0825,                0.62624,                 1.0527,                0.88583,                0.78067,                0.85107,                0.52857,                 1.3333,                0.86498,                 1.3136,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.0539,                0.59403,                 1.0201,                 0.9092,                0.73297,                 0.8441,                0.50226,                 1.3697,                0.92422,                 1.3132,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.0463,                0.59476,                 1.0283,                0.87098,                0.77401,                0.83793,                0.51188,                 1.3268,                0.87857,                 1.3048,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.0438,                0.58623,                 1.0497,                0.91615,                0.73683,                0.84649,                0.50714,                 1.3508,                 0.8162,                 1.3172,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.0236,                0.58126,                 1.0319,                 0.8966,                0.76007,                0.82918,                0.50083,                 1.3478,                0.86196,                 1.3312,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.0298,                0.56738,                 1.0358,                0.94644,                0.72195,                0.84349,                 0.5044,                 1.3638,                0.84723,                 1.3198,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.0619,                0.58407,                 1.0436,                0.92556,                0.77344,                 0.8443,                0.51188,                 1.3572,                0.85377,                  1.334,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.0154,                0.57121,                 1.0291,                0.85493,                0.79292,                0.84544,                0.52475,                 1.3647,                0.84299,                 1.3104,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.0288,                0.56207,                  1.024,                0.91406,                0.73163,                0.85072,                0.52884,                 1.3404,                0.88982,                 1.3013,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.0254,                 0.5783,                 1.0273,                0.89446,                0.77759,                0.84515,                0.51834,                 1.3306,                0.85561,                 1.2969,             0.00036324,             0.00036324,             0.00036324
                     81,                   1.02,                 0.5613,                 1.0192,                0.90376,                0.77083,                 0.8461,                0.53342,                 1.3186,                 0.8126,                 1.2874,             0.00034674,             0.00034674,             0.00034674
                     82,                0.99693,                0.55363,                 1.0314,                0.88221,                0.77433,                0.83978,                0.51415,                 1.3223,                 0.8528,                 1.3059,             0.00033023,             0.00033023,             0.00033023
                     83,                  1.018,                0.54842,                 1.0333,                0.88376,                0.76786,                0.85188,                0.53043,                 1.3405,                0.82442,                    1.3,             0.00031373,             0.00031373,             0.00031373
                     84,                0.98995,                0.53148,                 1.0157,                 0.9255,                0.76904,                0.85364,                0.51952,                 1.3507,                0.78726,                 1.3222,             0.00029723,             0.00029723,             0.00029723
                     85,                0.97639,                 0.5398,                 1.0237,                0.91663,                0.75355,                 0.8631,                0.54459,                    1.3,                0.80886,                 1.2801,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.0025,                0.54859,                 1.0406,                0.86479,                 0.7864,                0.85141,                0.54616,                 1.3143,                0.81348,                 1.2845,             0.00026422,             0.00026422,             0.00026422
                     87,                0.97221,                0.53611,                  1.009,                0.88042,                0.74605,                0.84117,                0.52959,                 1.3302,                0.85784,                 1.3035,             0.00024772,             0.00024772,             0.00024772
                     88,                0.98586,                0.53049,                 1.0109,                0.88212,                0.78067,                0.84868,                0.53254,                 1.2995,                 0.8238,                 1.2942,             0.00023121,             0.00023121,             0.00023121
                     89,                 0.9561,                0.52636,                 1.0018,                0.85439,                 0.7936,                0.85243,                0.54002,                 1.3142,                0.82497,                 1.2983,             0.00021471,             0.00021471,             0.00021471
                     90,                0.95431,                0.52116,                 1.0218,                0.87781,                0.77003,                0.84709,                 0.5193,                 1.3493,                0.84132,                 1.3229,             0.00019821,             0.00019821,             0.00019821
                     91,                0.93416,                0.48855,                 1.0065,                0.88799,                0.78375,                 0.8495,                0.53529,                 1.3147,                  0.798,                 1.3049,              0.0001817,              0.0001817,              0.0001817
                     92,                0.92106,                0.47307,                0.99918,                0.90954,                0.74397,                0.85127,                0.52901,                 1.3197,                0.79342,                 1.3146,              0.0001652,              0.0001652,              0.0001652
                     93,                0.92495,                0.49013,                 1.0133,                0.92621,                0.75314,                 0.8511,                0.53359,                 1.3215,                0.79725,                 1.3077,              0.0001487,              0.0001487,              0.0001487
                     94,                0.90601,                0.47346,                0.99873,                0.83296,                0.82423,                0.85718,                0.53516,                 1.3282,                0.79475,                 1.3121,             0.00013219,             0.00013219,             0.00013219
                     95,                0.91379,                 0.4727,                0.99706,                0.92676,                0.76169,                0.85553,                0.53194,                 1.3264,                0.80343,                 1.3049,             0.00011569,             0.00011569,             0.00011569
                     96,                0.88684,                0.45991,                 1.0085,                0.90933,                0.76638,                0.86471,                0.54255,                 1.3318,                0.81553,                 1.3209,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.88328,                0.44773,                0.99807,                0.89079,                0.78904,                0.85879,                0.54377,                 1.3177,                0.80953,                 1.3072,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.88445,                  0.449,                0.99838,                0.92423,                0.78186,                0.86571,                 0.5501,                 1.3008,                0.78448,                 1.3026,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.87358,                0.44091,                0.99106,                0.90115,                0.78614,                0.86395,                0.54443,                 1.3235,                0.78211,                 1.3195,             4.9677e-05,             4.9677e-05,             4.9677e-05
