                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.5249,                 6.7204,                 3.9771,                  5e-05,                0.00735,                  3e-05,                      0,                 4.8625,                 5.0699,                 4.1894,             0.00054332,             0.00054332,             0.00054332
                      1,                 3.0693,                 3.7146,                 2.8315,                0.09046,                0.05933,                0.01848,                0.00465,                  3.588,                 3.7014,                 3.2161,              0.0010881,              0.0010881,              0.0010881
                      2,                 2.5185,                 2.7948,                 2.2769,                0.27258,                0.36262,                0.23604,                0.08275,                 2.3715,                 4.6863,                 2.3565,              0.0016219,              0.0016219,              0.0016219
                      3,                 2.3891,                  2.403,                 2.0274,                0.42333,                0.22693,                  0.185,                0.08077,                 2.3199,                 3.1396,                 2.2765,              0.0016175,              0.0016175,              0.0016175
                      4,                 2.1834,                 2.1617,                 1.8625,                0.46207,                0.37222,                0.35648,                 0.1456,                 2.2129,                 2.1331,                 2.1057,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.0864,                 1.9468,                 1.7486,                0.42544,                0.45746,                0.43267,                0.19494,                 2.0445,                 2.1317,                 1.9851,               0.001601,               0.001601,               0.001601
                      6,                 1.9535,                 1.7975,                 1.6272,                0.49657,                0.51959,                0.48988,                0.23828,                 1.8518,                 2.0222,                 1.8368,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.9245,                 1.7016,                 1.5754,                 0.6537,                0.46894,                0.53185,                 0.2739,                 1.8531,                 1.7489,                 1.7499,               0.001568,               0.001568,               0.001568
                      8,                 1.8496,                 1.5806,                 1.5233,                 0.6724,                0.57208,                0.59543,                0.28669,                 1.8488,                 1.5723,                 1.7869,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.8085,                 1.5072,                 1.4562,                0.71626,                0.52815,                0.61511,                0.32681,                 1.7436,                 1.5523,                 1.6791,               0.001535,               0.001535,               0.001535
                     10,                 1.7674,                 1.4964,                 1.4507,                0.58904,                0.41598,                0.46132,                0.26333,                 1.7682,                 2.0479,                 1.7195,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.7486,                 1.4957,                 1.4475,                 0.6835,                0.53482,                0.59744,                0.31904,                  1.666,                 2.3184,                 1.6314,               0.001502,               0.001502,               0.001502
                     12,                 1.7107,                 1.4308,                 1.4166,                0.74081,                0.54506,                0.62665,                0.33012,                 1.7225,                 1.4367,                 1.6234,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.6822,                  1.394,                 1.3925,                0.74995,                0.60616,                0.65899,                0.34568,                 1.6776,                 1.3773,                 1.6092,               0.001469,               0.001469,               0.001469
