                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     10,                 1.8085,                 1.5206,                 1.4746,                0.68933,                0.48862,                0.54729,                0.28279,                  1.725,                 1.6928,                 1.6478,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.7723,                  1.519,                 1.4676,                0.71475,                0.58862,                0.64278,                0.34189,                 1.6743,                 1.8077,                 1.6166,               0.001502,               0.001502,               0.001502
                     12,                 1.7452,                 1.4482,                 1.4255,                0.67992,                0.58709,                0.61023,                0.32917,                 1.6428,                 1.4414,                 1.6372,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.6855,                 1.4082,                 1.3963,                0.74236,                0.59345,                0.64682,                0.35898,                 1.6006,                 1.3675,                 1.5705,               0.001469,               0.001469,               0.001469
                     14,                  1.614,                 1.3469,                 1.3778,                0.80408,                0.56951,                0.68875,                0.37523,                  1.597,                  1.318,                 1.5419,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.6251,                 1.2968,                 1.3648,                0.76944,                0.60203,                0.68872,                0.37442,                 1.6094,                 1.3748,                  1.561,               0.001436,               0.001436,               0.001436
                     16,                 1.6128,                 1.2927,                 1.3401,                0.82872,                0.51463,                0.68559,                0.35211,                 1.6935,                 1.3534,                 1.5707,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.5446,                 1.2209,                 1.3151,                0.82881,                0.61574,                0.71887,                0.40614,                 1.5199,                  1.279,                 1.4725,              0.0014029,              0.0014029,              0.0014029
                     18,                   1.52,                 1.1816,                 1.3111,                0.79981,                  0.556,                0.65408,                0.36018,                 1.6194,                 1.4331,                 1.5453,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.5552,                 1.2038,                    1.3,                0.69753,                0.69312,                0.72732,                0.40606,                 1.5493,                 1.1983,                 1.4797,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.5429,                 1.1265,                 1.2862,                0.79938,                 0.5837,                0.70483,                0.41602,                 1.4663,                 1.2609,                 1.4654,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.5153,                 1.1525,                 1.3046,                0.84832,                0.66321,                0.73514,                 0.3858,                 1.6859,                 1.2463,                 1.5541,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.4795,                  1.119,                 1.2727,                0.82583,                0.57902,                0.69694,                0.42954,                 1.4803,                 1.2957,                 1.4499,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.4555,                 1.1136,                 1.2808,                0.73301,                0.67863,                0.72539,                 0.4181,                  1.495,                 1.2029,                 1.4534,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.4532,                 1.0425,                 1.2541,                0.80749,                0.71895,                0.74301,                0.41894,                 1.5056,                 1.1848,                 1.4671,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.4226,                  1.057,                 1.2604,                0.75582,                 0.6656,                0.71218,                0.36756,                 1.7128,                 1.2311,                  1.567,              0.0012709,              0.0012709,              0.0012709
                     26,                  1.447,                 1.0821,                 1.2858,                0.80059,                 0.6555,                0.72755,                0.41495,                 1.4809,                 1.2422,                 1.4317,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.4052,                 1.0205,                 1.2269,                0.78549,                0.66136,                0.73189,                0.44038,                 1.4907,                 1.2325,                 1.4432,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.3764,                 1.0239,                 1.2243,                0.84641,                0.68081,                  0.768,                0.44237,                 1.5147,                 1.1142,                 1.4367,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.3581,                0.99358,                 1.2165,                0.81848,                0.67408,                 0.7655,                0.42362,                 1.5537,                 1.1791,                 1.4545,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.3856,                0.98889,                  1.229,                0.84817,                0.65699,                 0.7617,                0.42321,                 1.5377,                 1.1256,                 1.4462,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.4044,                 1.0141,                 1.2287,                 0.8239,                0.63951,                0.73819,                0.42705,                 1.4977,                 1.1885,                  1.431,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.3543,                0.95924,                 1.2063,                0.90034,                0.63199,                0.74962,                0.44399,                 1.4526,                 1.2263,                 1.4093,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.3915,                0.97681,                 1.1841,                0.88402,                0.65139,                0.76278,                0.43044,                 1.5284,                  1.192,                 1.4389,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.3902,                0.95093,                 1.2018,                0.85862,                0.72562,                0.77759,                0.44364,                 1.4712,                 1.1271,                 1.4355,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.3385,                0.93082,                 1.1932,                0.86967,                0.65487,                0.75794,                 0.4531,                 1.4776,                 1.1429,                 1.4068,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.3548,                0.91796,                 1.2004,                0.85735,                0.65776,                0.77432,                 0.4467,                 1.5106,                 1.1232,                 1.4182,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.3439,                0.91179,                 1.1974,                0.90354,                0.73058,                0.81022,                 0.4732,                 1.4893,                 1.0879,                 1.4201,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.3297,                0.88729,                 1.1662,                0.81634,                0.76109,                0.79929,                0.47239,                 1.4244,                 1.0176,                 1.3768,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.3139,                0.88957,                 1.1768,                0.87385,                0.70008,                0.79572,                0.48773,                 1.4285,                 1.0934,                 1.3712,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.3235,                0.86235,                 1.1679,                0.90237,                0.71665,                 0.8004,                0.47378,                 1.4184,                 1.0298,                 1.3697,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.3017,                0.86093,                 1.1666,                 0.8895,                0.70878,                 0.8048,                0.49101,                 1.3968,                 1.0933,                 1.3678,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.2733,                 0.8343,                 1.1527,                0.87509,                 0.7192,                0.79559,                0.47931,                 1.4757,                 1.1855,                 1.3895,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.2802,                0.84242,                  1.154,                0.88829,                0.68762,                0.78525,                0.47732,                 1.4523,                 1.0333,                 1.3768,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.2902,                0.82146,                 1.1488,                0.88788,                0.68835,                0.79302,                0.47964,                 1.4324,                 1.0859,                  1.351,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.2625,                0.81725,                 1.1377,                0.90944,                0.71946,                0.79634,                 0.4842,                 1.4169,                 1.0888,                 1.3538,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.2708,                0.83911,                 1.1407,                0.85951,                0.70375,                0.79658,                0.44653,                 1.4748,                 1.0974,                 1.3843,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.2441,                0.80542,                 1.1268,                0.80863,                0.76596,                0.81332,                0.50461,                 1.3956,                   1.03,                 1.3514,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.2581,                0.81359,                 1.1392,                0.89471,                 0.6957,                0.80116,                0.48205,                 1.4372,                 1.1377,                 1.3587,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.2758,                0.82061,                 1.1414,                0.89058,                0.70446,                0.80507,                0.47244,                  1.469,                 1.0756,                 1.3761,             0.00087484,             0.00087484,             0.00087484
                     50,                  1.229,                0.77348,                 1.1238,                0.90143,                0.72545,                0.80364,                0.49532,                 1.4134,                 1.0975,                 1.3547,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.2452,                0.78333,                 1.1212,                0.85192,                0.76161,                0.82598,                0.49331,                 1.4139,                 1.0373,                 1.3625,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.2404,                0.80064,                 1.1261,                0.87376,                0.77738,                0.84186,                0.51947,                 1.3554,                0.94241,                 1.3233,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.2251,                0.76756,                 1.1219,                0.89675,                0.78375,                0.83241,                0.50625,                 1.4129,                 1.0094,                 1.3531,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.1934,                0.73496,                 1.1114,                0.93811,                 0.7028,                  0.817,                0.51534,                 1.3451,                0.92947,                 1.3154,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.2235,                0.74884,                 1.1219,                0.94117,                0.73058,                0.82627,                0.51481,                 1.3601,                0.98036,                 1.3236,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.2078,                0.74406,                 1.1181,                0.90566,                0.71584,                0.81696,                0.51479,                 1.3434,                 1.0158,                 1.2977,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.1802,                0.72549,                 1.0974,                0.89736,                0.72465,                0.81598,                0.51627,                 1.4024,                 1.0162,                 1.3278,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.1775,                0.72169,                  1.086,                0.95621,                0.68954,                0.80785,                0.51647,                 1.3912,                   1.09,                 1.3381,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.1733,                0.72825,                 1.1028,                0.88043,                0.74271,                0.82661,                0.49808,                 1.4157,                 1.0292,                 1.3473,             0.00070981,             0.00070981,             0.00070981
                     60,                  1.166,                0.71729,                  1.087,                0.92201,                0.72554,                0.81307,                0.49614,                  1.383,                 1.0236,                 1.3476,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.1621,                0.71334,                 1.1019,                0.90451,                0.78683,                0.82704,                 0.5026,                 1.3442,                0.97001,                 1.3351,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.1436,                0.69004,                 1.0992,                0.88652,                0.73844,                0.82046,                0.50028,                 1.4115,                  1.014,                 1.3512,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.1636,                0.69861,                 1.1001,                0.91466,                0.75992,                0.82761,                0.51723,                 1.3732,                0.94274,                  1.323,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.1562,                0.69386,                 1.0964,                0.91769,                0.77451,                0.83671,                 0.5276,                  1.341,                0.96815,                 1.3118,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.1567,                0.68417,                 1.0824,                0.86797,                0.77657,                0.83007,                0.53083,                 1.3413,                0.95788,                 1.3061,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.1673,                0.69928,                 1.0962,                0.88266,                0.73228,                0.81621,                0.51263,                 1.3783,                 1.0039,                  1.325,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.1566,                0.69348,                 1.0895,                0.90969,                0.76005,                0.83687,                0.52748,                 1.3437,                0.97486,                 1.3158,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.1108,                0.65959,                 1.0743,                0.92703,                0.75285,                0.82733,                0.53074,                  1.315,                0.96586,                 1.2913,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.1338,                0.67301,                 1.0863,                 0.9423,                0.74436,                0.82139,                0.52043,                 1.3366,                 1.0244,                 1.3079,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.1131,                0.64106,                 1.0617,                0.91687,                0.71949,                0.81023,                0.51294,                 1.3277,                 1.0468,                 1.3022,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.1254,                0.67868,                   1.07,                0.94565,                0.74539,                0.83751,                0.50646,                 1.3742,                 1.0026,                 1.3464,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.1096,                 0.6454,                 1.0449,                0.91179,                 0.7389,                0.82392,                0.51897,                 1.3508,                0.94846,                 1.3061,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.0994,                0.64497,                 1.0531,                0.94599,                0.73917,                0.84414,                 0.5188,                 1.3702,                0.93895,                 1.3276,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.0866,                0.63921,                 1.0718,                0.87274,                0.76596,                0.83292,                0.51308,                 1.3733,                0.94793,                 1.3395,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.0984,                0.64796,                 1.0581,                0.91706,                0.74405,                 0.8281,                0.51265,                 1.3844,                0.99206,                 1.3311,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.1097,                0.63144,                 1.0702,                 0.9389,                0.74903,                 0.8326,                0.52451,                  1.375,                0.94066,                 1.3116,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.1007,                0.62523,                 1.0625,                0.93121,                 0.7595,                0.83318,                0.52848,                 1.3107,                0.96689,                 1.2817,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.0782,                0.61919,                 1.0541,                0.95001,                0.71449,                0.82288,                0.50821,                 1.3859,                 1.0371,                 1.3198,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.0934,                0.61258,                 1.0489,                0.92611,                0.76308,                0.83753,                0.52607,                  1.399,                0.96702,                 1.3267,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.0964,                0.64405,                 1.0586,                0.95848,                0.75006,                0.82663,                0.50926,                 1.3376,                0.97812,                 1.3082,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.0986,                0.61191,                 1.0574,                0.92027,                0.78494,                0.83261,                0.52506,                 1.3829,                0.93295,                 1.3271,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.0688,                0.60388,                 1.0635,                0.94116,                0.73536,                0.82233,                0.51853,                 1.3437,                0.95603,                 1.3062,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.0958,                0.61347,                 1.0631,                0.94487,                0.74152,                0.83011,                0.51855,                 1.3888,                0.96628,                 1.3298,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.0705,                0.58433,                 1.0444,                0.93156,                0.76169,                 0.8463,                0.53374,                 1.3479,                0.93644,                 1.3159,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.0511,                0.59633,                 1.0497,                 0.9165,                 0.7744,                 0.8454,                0.54438,                 1.3292,                0.93657,                 1.3071,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.0783,                0.61512,                 1.0649,                 0.9209,                0.75568,                0.82791,                 0.5285,                 1.3482,                0.92752,                 1.3105,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.0456,                0.59124,                 1.0358,                0.90201,                0.78494,                0.83704,                0.54224,                 1.3233,                0.91416,                 1.2861,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.0629,                0.58295,                 1.0398,                0.95199,                0.76219,                0.84577,                0.54339,                 1.3302,                0.92734,                 1.2877,             0.00023121,             0.00023121,             0.00023121
                     89,                  1.029,                0.58626,                  1.033,                0.91396,                 0.7556,                0.83362,                0.51903,                  1.331,                0.93861,                 1.3014,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.0095,                0.56586,                 1.0467,                 0.9543,                 0.7313,                 0.8305,                0.52092,                  1.332,                0.96838,                 1.2968,             0.00019821,             0.00019821,             0.00019821
                     91,                0.99988,                0.54592,                 1.0368,                0.94719,                0.71972,                0.84316,                0.53235,                 1.3347,                0.93879,                 1.2884,              0.0001817,              0.0001817,              0.0001817
                     92,                0.99173,                 0.5307,                 1.0292,                0.89699,                0.75177,                0.84346,                0.52912,                 1.3605,                0.97745,                 1.3056,              0.0001652,              0.0001652,              0.0001652
                     93,                0.98706,                0.53228,                 1.0414,                0.88354,                0.78375,                 0.8441,                0.53318,                 1.3123,                0.96981,                 1.2862,              0.0001487,              0.0001487,              0.0001487
                     94,                0.97785,                0.52286,                 1.0269,                0.86653,                0.78496,                0.83529,                0.52605,                 1.3221,                0.95636,                 1.2837,             0.00013219,             0.00013219,             0.00013219
                     95,                 1.0048,                0.52575,                 1.0317,                0.92547,                0.74369,                0.84526,                  0.536,                 1.3404,                0.96389,                 1.2839,             0.00011569,             0.00011569,             0.00011569
                     96,                0.97461,                0.51762,                 1.0496,                0.89337,                0.77332,                0.84615,                 0.5334,                 1.3235,                0.94091,                 1.2878,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.97411,                0.51563,                 1.0323,                0.91831,                0.76641,                0.84297,                0.53937,                 1.3353,                0.93198,                  1.291,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.97052,                0.49946,                  1.031,                 0.9567,                0.74168,                0.84412,                0.53855,                 1.3138,                0.94932,                 1.2837,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.95271,                0.50457,                 1.0294,                0.95558,                0.72843,                0.84394,                0.53216,                 1.3362,                0.98471,                 1.2903,             4.9677e-05,             4.9677e-05,             4.9677e-05
