                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.6204,                 6.6684,                 4.1261,                  3e-05,                0.00735,                  2e-05,                      0,                 4.8589,                 5.0013,                 4.1664,             0.00054332,             0.00054332,             0.00054332
                      1,                 3.3141,                  4.072,                 3.1557,                0.00015,                 0.0159,                  8e-05,                  3e-05,                 4.3296,                 5.0798,                 3.8522,              0.0010881,              0.0010881,              0.0010881
                      2,                 2.6804,                 3.0565,                 2.3563,                0.22623,                0.14101,                0.08898,                0.03252,                 2.7535,                 3.2015,                 2.6564,              0.0016219,              0.0016219,              0.0016219
                      3,                 2.3989,                 2.5955,                 2.0013,                0.31788,                0.23234,                 0.2025,                0.08707,                 2.3194,                 2.6484,                  2.204,              0.0016175,              0.0016175,              0.0016175
                      4,                  2.222,                 2.2088,                 1.8418,                 0.4946,                0.35546,                0.35295,                0.15607,                 2.1267,                 2.3055,                 1.9973,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.0557,                 1.9473,                  1.713,                0.44117,                 0.4447,                0.38112,                0.17017,                 2.0531,                 2.1689,                 1.9239,               0.001601,               0.001601,               0.001601
                      6,                 1.9083,                  1.803,                 1.5696,                0.49444,                0.55943,                0.50804,                0.24765,                 1.8211,                 2.0808,                 1.7736,              0.0015845,              0.0015845,              0.0015845
                      7,                  1.902,                 1.7804,                 1.5469,                0.59912,                0.50848,                0.51792,                0.26935,                 1.7847,                 1.7932,                 1.7266,               0.001568,               0.001568,               0.001568
                      8,                 1.8285,                 1.6184,                 1.5069,                 0.5784,                0.54952,                0.51122,                0.25419,                 1.7826,                 1.7224,                 1.6815,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.7925,                  1.548,                 1.4511,                0.72552,                0.45246,                0.54479,                 0.2789,                 1.7634,                 1.6541,                  1.709,               0.001535,               0.001535,               0.001535
